div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	52976	14.0338607687152	DNA
0	LINE	8888	2.3545181688376	LINE
0	LTR	93791	24.8461536423771	LTR
0	RC	2443	0.647174604688373	RC
0	SINE	15	0.00397364677459091	SINE
1	DNA	16933	4.4857173889432	DNA
1	LINE	1521	0.402927782943519	LINE
1	LTR	25546	6.7673853669133	LTR
1	RC	614	0.162654607973255	RC
1	SINE	2	0.000529819569945455	SINE
2	DNA	13998	3.70820717004824	DNA
2	LINE	1076	0.285042928630655	LINE
2	LTR	9746	2.5818107643442	LTR
2	RC	512	0.135633809906037	RC
3	DNA	11350	3.00672605944046	DNA
3	LINE	898	0.237888986905509	LINE
3	LTR	6296	1.66787200618829	LTR
3	RC	421	0.111527019473518	RC
4	DNA	9746	2.5818107643442	DNA
4	LINE	630	0.166893164532818	LINE
4	LTR	5289	1.40110785272076	LTR
4	RC	400	0.105963913989091	RC
5	DNA	8045	2.13119922010559	DNA
5	LINE	511	0.135368900121064	LINE
5	LTR	4230	1.12056839043464	LTR
5	RC	295	0.0781483865669546	RC
5	SINE	2	0.000529819569945455	SINE
6	DNA	6933	1.83661953921592	DNA
6	LINE	500	0.132454892486364	LINE
6	LTR	3419	0.905726554821755	LTR
6	RC	297	0.0786782061369001	RC
6	SINE	1	0.000264909784972728	SINE
7	DNA	5886	1.55925899434947	DNA
7	LINE	359	0.0951026128052092	LINE
7	LTR	2909	0.770622564485664	LTR
7	RC	276	0.0731151006524728	RC
7	SINE	2	0.000529819569945455	SINE
8	DNA	5461	1.44667233573607	DNA
8	LINE	341	0.0903342366757001	LINE
8	LTR	2570	0.68081814737991	LTR
8	RC	269	0.0712607321576637	RC
8	SINE	5	0.00132454892486364	SINE
9	DNA	4776	1.26520913302975	DNA
9	LINE	306	0.0810623942016546	LINE
9	LTR	2172	0.575384052960764	LTR
9	RC	247	0.0654327168882637	RC
10	DNA	4793	1.26971259937428	DNA
10	LINE	333	0.0882149583959183	LINE
10	LTR	2097	0.55551581908781	LTR
10	RC	237	0.0627836190385364	RC
10	SINE	6	0.00158945870983637	SINE
11	DNA	4164	1.10308434462644	DNA
11	LINE	319	0.0845062214063001	LINE
11	LTR	1880	0.498030395748728	LTR
11	RC	203	0.0537766863494637	RC
11	SINE	1	0.000264909784972728	SINE
12	DNA	4113	1.08957394559283	DNA
12	LINE	302	0.0800027550617637	LINE
12	LTR	1726	0.457234288862928	LTR
12	RC	213	0.056425784199191	RC
13	DNA	3692	0.97804692611931	DNA
13	LINE	271	0.0717905517276092	LINE
13	LTR	1594	0.422266197246528	LTR
13	RC	192	0.0508626787147637	RC
13	SINE	6	0.00158945870983637	SINE
14	DNA	3462	0.917117675575583	DNA
14	LINE	279	0.073909830007391	LINE
14	LTR	1528	0.404782151438328	LTR
14	RC	206	0.0545714157043819	RC
14	SINE	5	0.00132454892486364	SINE
15	DNA	3301	0.874467200194974	DNA
15	LINE	266	0.0704660028027455	LINE
15	LTR	1419	0.3759069848763	LTR
15	RC	172	0.0455644830153091	RC
15	SINE	2	0.000529819569945455	SINE
16	DNA	2913	0.771682203625555	DNA
16	LINE	241	0.0638432581784273	LINE
16	LTR	1355	0.358952758638046	LTR
16	RC	159	0.0421206558106637	RC
16	SINE	2	0.000529819569945455	SINE
17	DNA	2649	0.701746020392755	DNA
17	LINE	226	0.0598696114038364	LINE
17	LTR	1195	0.316567193042409	LTR
17	RC	147	0.038941738390991	RC
17	SINE	3	0.000794729354918183	SINE
18	DNA	2253	0.596841745543555	DNA
18	LINE	215	0.0569556037691364	LINE
18	LTR	1085	0.287427116695409	LTR
18	RC	124	0.0328488133366182	RC
18	SINE	5	0.00132454892486364	SINE
19	DNA	1736	0.459883386712655	DNA
19	LINE	163	0.0431802949505546	LINE
19	LTR	880	0.233120610776	LTR
19	RC	103	0.0272857078521909	RC
20	DNA	1742	0.461472845422491	DNA
20	LINE	191	0.050597768929791	LINE
20	LTR	910	0.241067904325182	LTR
20	RC	91	0.0241067904325182	RC
