div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	40374	22.2393592702555	DNA
0	LINE	4055	2.23363059991297	LINE
0	LTR	18842	10.378808326402	LTR
0	RC	1163	0.640619577730896	RC
0	SINE	33	0.0181775116639033	SINE
1	DNA	9856	5.42901681695246	DNA
1	LINE	770	0.424141938824411	LINE
1	LTR	4473	2.46387908098908	LTR
1	RC	349	0.192240956687947	RC
1	SINE	2	0.0011016673735699	SINE
2	DNA	8062	4.44082118286026	DNA
2	LINE	543	0.299102691924227	LINE
2	LTR	3437	1.89321538147987	LTR
2	RC	268	0.147623428058366	RC
3	DNA	6431	3.54241143971401	DNA
3	LINE	429	0.236307651630743	LINE
3	LTR	2667	1.46907344265546	LTR
3	RC	204	0.11237007210413	RC
4	DNA	5622	3.09678698710498	DNA
4	LINE	384	0.21152013572542	LINE
4	LTR	2215	1.22009661622866	LTR
4	RC	175	0.0963958951873661	RC
5	DNA	4869	2.68200922095592	DNA
5	LINE	317	0.174614278710829	LINE
5	LTR	1994	1.09836237144919	LTR
5	RC	132	0.0727100466556133	RC
6	DNA	4226	2.32782316035319	DNA
6	LINE	267	0.147072594371581	LINE
6	LTR	1691	0.931459764353349	LTR
6	RC	138	0.076015048776323	RC
6	SINE	1	0.000550833686784949	SINE
7	DNA	3723	2.05075381590037	DNA
7	LINE	230	0.126691747960538	LINE
7	LTR	1513	0.833411368105628	LTR
7	RC	107	0.0589392044859895	RC
8	DNA	3478	1.91579956263805	DNA
8	LINE	201	0.110717571043775	LINE
8	LTR	1272	0.700660449590455	LTR
8	RC	108	0.0594900381727745	RC
8	SINE	7	0.00385583580749464	SINE
9	DNA	3019	1.66296690040376	DNA
9	LINE	161	0.0886842235723768	LINE
9	LTR	1094	0.602612053342734	LTR
9	RC	102	0.0561850360520648	RC
10	DNA	3154	1.73732944811973	DNA
10	LINE	153	0.0842775540780972	LINE
10	LTR	1135	0.625196234500917	LTR
10	RC	110	0.0605917055463444	RC
10	SINE	1	0.000550833686784949	SINE
11	DNA	2835	1.56161350203533	DNA
11	LINE	148	0.0815233856441725	LINE
11	LTR	1010	0.556342023652799	LTR
11	RC	116	0.0638967076670541	RC
11	SINE	1	0.000550833686784949	SINE
12	DNA	2823	1.55500349779391	DNA
12	LINE	149	0.0820742193309574	LINE
12	LTR	1008	0.555240356279229	LTR
12	RC	95	0.0523292002445702	RC
12	SINE	3	0.00165250106035485	SINE
13	DNA	2551	1.40517673498841	DNA
13	LINE	170	0.0936417267534413	LINE
13	LTR	942	0.518885332951422	LTR
13	RC	93	0.0512275328710003	RC
13	SINE	3	0.00165250106035485	SINE
14	DNA	2417	1.33136502095922	DNA
14	LINE	173	0.0952942278137962	LINE
14	LTR	852	0.469310301140777	LTR
14	RC	121	0.0666508761009788	RC
14	SINE	3	0.00165250106035485	SINE
15	DNA	2296	1.26471414485824	DNA
15	LINE	170	0.0936417267534413	LINE
15	LTR	933	0.513927829770357	LTR
15	RC	104	0.0572867034256347	RC
15	SINE	3	0.00165250106035485	SINE
16	DNA	2042	1.12480238841487	DNA
16	LINE	159	0.0875825561988069	LINE
16	LTR	877	0.4830811433104	LTR
16	RC	93	0.0512275328710003	RC
16	SINE	2	0.0011016673735699	SINE
17	DNA	1787	0.984339798284704	DNA
17	LINE	149	0.0820742193309574	LINE
17	LTR	828	0.456090292657938	LTR
17	RC	74	0.0407616928220862	RC
17	SINE	4	0.0022033347471398	SINE
18	DNA	1570	0.86480888825237	DNA
18	LINE	147	0.0809725519573875	LINE
18	LTR	745	0.410371096654787	LTR
18	RC	64	0.0352533559542367	RC
18	SINE	1	0.000550833686784949	SINE
19	DNA	1236	0.680830436866197	DNA
19	LINE	110	0.0605917055463444	LINE
19	LTR	555	0.305712696165647	LTR
19	RC	49	0.0269908506524625	RC
19	SINE	2	0.0011016673735699	SINE
20	DNA	1287	0.708922954892229	DNA
20	LINE	147	0.0809725519573875	LINE
20	LTR	574	0.316178536214561	LTR
20	RC	70	0.0385583580749464	RC
