div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	41465	22.1970621614098	DNA
0	LINE	10332	5.53093081518597	LINE
0	LTR	20386	10.9130425472688	LTR
0	RC	1021	0.546562172116229	RC
0	SINE	36	0.0192715359414145	SINE
1	DNA	9287	4.97152095244213	DNA
1	LINE	1141	0.610800625254277	LINE
1	LTR	4430	2.37146956167962	LTR
1	RC	196	0.104922806792146	RC
1	SINE	3	0.00160596132845121	SINE
2	DNA	7556	4.04488126592578	DNA
2	LINE	644	0.344746365174193	LINE
2	LTR	3516	1.88218667694482	LTR
2	RC	145	0.0776214642084752	RC
2	SINE	1	0.00053532044281707	SINE
3	DNA	6327	3.3869724417036	DNA
3	LINE	413	0.22108734288345	LINE
3	LTR	2814	1.50639172608724	LTR
3	RC	139	0.0744095415515728	RC
4	DNA	5547	2.96942249630629	DNA
4	LINE	385	0.206098370484572	LINE
4	LTR	2579	1.38059142202522	LTR
4	RC	140	0.0749448619943898	RC
5	DNA	4662	2.49566390441318	DNA
5	LINE	266	0.142395237789341	LINE
5	LTR	2118	1.13380869788655	LTR
5	RC	109	0.0583499282670607	RC
5	SINE	1	0.00053532044281707	SINE
6	DNA	4000	2.14128177126828	DNA
6	LINE	200	0.107064088563414	LINE
6	LTR	1876	1.00426115072482	LTR
6	RC	110	0.0588852487098777	RC
7	DNA	3565	1.90841737864286	DNA
7	LINE	213	0.114023254320036	LINE
7	LTR	1553	0.83135264769491	LTR
7	RC	97	0.0519260829532558	RC
8	DNA	3211	1.71891394188561	DNA
8	LINE	173	0.0926104366073532	LINE
8	LTR	1358	0.726965161345582	LTR
8	RC	93	0.0497848011819875	RC
8	SINE	1	0.00053532044281707	SINE
9	DNA	2817	1.50799768741569	DNA
9	LINE	166	0.0888631935076337	LINE
9	LTR	1165	0.623648315881887	LTR
9	RC	85	0.045502237639451	RC
10	DNA	3025	1.61934433952164	DNA
10	LINE	188	0.100640243249609	LINE
10	LTR	1104	0.590993768870046	LTR
10	RC	93	0.0497848011819875	RC
10	SINE	4	0.00214128177126828	SINE
11	DNA	2643	1.41485193036552	DNA
11	LINE	161	0.0861865912935483	LINE
11	LTR	1152	0.616689150125265	LTR
11	RC	94	0.0503201216248046	RC
11	SINE	1	0.00053532044281707	SINE
12	DNA	2550	1.36506712918353	DNA
12	LINE	183	0.0979636410355239	LINE
12	LTR	1101	0.589387807541594	LTR
12	RC	87	0.0465728785250851	RC
12	SINE	1	0.00053532044281707	SINE
13	DNA	2435	1.30350527825957	DNA
13	LINE	142	0.076015502880024	LINE
13	LTR	997	0.533714481488619	LTR
13	RC	77	0.0412196740969144	RC
14	DNA	2225	1.19108798526798	DNA
14	LINE	157	0.08404530952228	LINE
14	LTR	1003	0.536926404145522	LTR
14	RC	110	0.0588852487098777	RC
14	SINE	2	0.00107064088563414	SINE
15	DNA	2013	1.07760005139076	DNA
15	LINE	180	0.0963576797070727	LINE
15	LTR	949	0.5080191002334	LTR
15	RC	76	0.0406843536540973	RC
16	DNA	1880	1.00640243249609	DNA
16	LINE	139	0.0744095415515728	LINE
16	LTR	904	0.483929680306632	LTR
16	RC	73	0.0390783923256461	RC
16	SINE	1	0.00053532044281707	SINE
17	DNA	1680	0.899338343932678	DNA
17	LINE	110	0.0588852487098777	LINE
17	LTR	800	0.428256354253656	LTR
17	RC	61	0.0326545470118413	RC
17	SINE	3	0.00160596132845121	SINE
18	DNA	1404	0.751589901715167	DNA
18	LINE	121	0.0647737735808655	LINE
18	LTR	719	0.384895398385474	LTR
18	RC	48	0.0256953812552194	RC
19	DNA	1089	0.58296396222779	DNA
19	LINE	106	0.0567439669386094	LINE
19	LTR	556	0.297638166206291	LTR
19	RC	59	0.0315839061262072	RC
19	SINE	1	0.00053532044281707	SINE
20	DNA	1056	0.565298387614826	DNA
20	LINE	131	0.0701269780090362	LINE
20	LTR	568	0.304062011520096	LTR
20	RC	62	0.0331898674546584	RC
20	SINE	2	0.00107064088563414	SINE
21	DNA	848	0.453951735508876	DNA
21	LINE	100	0.053532044281707	LINE
21	LTR	449	0.240358878824865	LTR
21	RC	28	0.014988972398878	RC
22	DNA	697	0.373118348643498	DNA
22	LINE	85	0.045502237639451	LINE
22	LTR	449	0.240358878824865	LTR
22	RC	24	0.0128476906276097	RC
22	SINE	1	0.00053532044281707	SINE
23	DNA	553	0.29603220487784	DNA
23	LINE	70	0.0374724309971949	LINE
23	LTR	290	0.15524292841695	LTR
23	RC	16	0.00856512708507312	RC
23	SINE	1	0.00053532044281707	SINE
24	DNA	381	0.203957088713304	DNA
24	LINE	73	0.0390783923256461	LINE
24	LTR	219	0.117235176976938	LTR
24	RC	30	0.0160596132845121	RC
25	DNA	379	0.20288644782767	DNA
25	LINE	80	0.0428256354253656	LINE
25	LTR	205	0.109740690777499	LTR
