div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	41088	19.9558996376776	DNA
0	LINE	5869	2.85049588623272	LINE
0	LTR	32880	15.9693823035154	LTR
0	RC	1688	0.819839334803345	RC
0	SINE	37	0.017970411959552	SINE
1	DNA	9194	4.46540452854381	DNA
1	LINE	1091	0.529884309401925	LINE
1	LTR	5066	2.46048937802947	LTR
1	RC	434	0.210788075417448	RC
2	DNA	7968	3.86995249983001	DNA
2	LINE	777	0.377378651150592	LINE
2	LTR	4338	2.10690938055504	LTR
2	RC	306	0.148620163773592	RC
2	SINE	1	0.000485686809717622	SINE
3	DNA	6662	3.2356455263388	DNA
3	LINE	574	0.278784228777915	LINE
3	LTR	3549	1.72370248768784	LTR
3	RC	263	0.127735630955735	RC
4	DNA	5817	2.82524017212741	DNA
4	LINE	455	0.220987498421518	LINE
4	LTR	3396	1.64939240580104	LTR
4	RC	264	0.128221317765452	RC
5	DNA	5034	2.44494740011851	DNA
5	LINE	422	0.204959833700836	LINE
5	LTR	2934	1.4250050997115	LTR
5	RC	238	0.115593460712794	RC
5	SINE	2	0.000971373619435243	SINE
6	DNA	4468	2.17004866581833	DNA
6	LINE	314	0.152505658251333	LINE
6	LTR	2487	1.20790309576773	LTR
6	RC	201	0.097623048753242	RC
7	DNA	3831	1.86066616802821	DNA
7	LINE	275	0.133563872672346	LINE
7	LTR	2085	1.01265699826124	LTR
7	RC	186	0.0903377466074776	RC
8	DNA	3575	1.7363303447405	DNA
8	LINE	226	0.109765218996183	LINE
8	LTR	1893	0.919405130795458	LTR
8	RC	154	0.0747957686965137	RC
9	DNA	3168	1.53865581318543	DNA
9	LINE	216	0.104908350899006	LINE
9	LTR	1579	0.766899472544125	LTR
9	RC	131	0.0636249720730084	RC
10	DNA	3050	1.48134476963875	DNA
10	LINE	237	0.115107773903076	LINE
10	LTR	1405	0.682389967653258	LTR
10	RC	168	0.0815953840325604	RC
10	SINE	2	0.000971373619435243	SINE
11	DNA	2630	1.27735630955735	DNA
11	LINE	194	0.0942232410852186	LINE
11	LTR	1216	0.590595160616628	LTR
11	RC	117	0.0568253567369617	RC
12	DNA	2612	1.26861394698243	DNA
12	LINE	177	0.085966565320019	LINE
12	LTR	1165	0.565825133321029	LTR
12	RC	140	0.067996153360467	RC
13	DNA	2352	1.14233537645585	DNA
13	LINE	195	0.0947089278949362	LINE
13	LTR	1088	0.528427248972772	LTR
13	RC	140	0.067996153360467	RC
13	SINE	2	0.000971373619435243	SINE
14	DNA	2155	1.04665507494147	DNA
14	LINE	169	0.0820810708422781	LINE
14	LTR	1020	0.495400545911974	LTR
14	RC	117	0.0568253567369617	RC
15	DNA	2041	0.991286778633666	DNA
15	LINE	154	0.0747957686965137	LINE
15	LTR	991	0.481315628430163	LTR
15	RC	123	0.0597394775952675	RC
16	DNA	1694	0.822753455661651	DNA
16	LINE	136	0.0660534061215965	LINE
16	LTR	876	0.425461645312637	LTR
16	RC	91	0.0441974996843036	RC
17	DNA	1601	0.777584582357912	DNA
17	LINE	151	0.0733387082673609	LINE
17	LTR	824	0.40020593120732	LTR
17	RC	100	0.0485686809717622	RC
17	SINE	1	0.000485686809717622	SINE
18	DNA	1358	0.65956268759653	DNA
18	LINE	155	0.0752814555062314	LINE
18	LTR	713	0.346294695328664	LTR
18	RC	72	0.0349694502996688	RC
19	DNA	1137	0.552225902648936	DNA
19	LINE	130	0.0631392852632908	LINE
19	LTR	530	0.25741400915034	LTR
19	RC	60	0.0291412085830573	RC
19	SINE	1	0.000485686809717622	SINE
20	DNA	1106	0.53716961154769	DNA
20	LINE	117	0.0568253567369617	LINE
20	LTR	562	0.272955987061303	LTR
20	RC	41	0.0199131591984225	RC
20	SINE	3	0.00145706042915286	SINE
21	DNA	763	0.370579035814545	DNA
21	LINE	78	0.0378835711579745	LINE
21	LTR	432	0.209816701798013	LTR
21	RC	43	0.0208845328178577	RC
21	SINE	1	0.000485686809717622	SINE
22	DNA	659	0.320067607603913	DNA
22	LINE	89	0.0432261260648683	LINE
22	LTR	349	0.16950469659145	LTR
22	RC	35	0.0169990383401168	RC
23	DNA	504	0.244786152097681	DNA
23	LINE	72	0.0349694502996688	LINE
23	LTR	246	0.119478955190535	LTR
23	RC	34	0.0165133515303991	RC
24	DNA	389	0.188932168980155	DNA
24	LINE	59	0.0286555217733397	LINE
24	LTR	197	0.0956803015143715	LTR
24	RC	37	0.017970411959552	RC
25	DNA	343	0.166590575733144	DNA
25	LINE	51	0.0247700272955987	LINE
25	LTR	185	0.08985205979776	LTR
25	RC	26	0.0126278570526582	RC
25	SINE	1	0.000485686809717622	SINE
26	DNA	183	0.0888806861783248	DNA
26	LINE	38	0.0184560987692696	LINE
26	LTR	131	0.0636249720730084	LTR
26	RC	20	0.00971373619435243	RC
26	SINE	1	0.000485686809717622	SINE
27	DNA	131	0.0636249720730084	DNA
27	LINE	30	0.0145706042915287	LINE
27	LTR	100	0.0485686809717622	LTR
27	RC	15	0.00728530214576433	RC
28	DNA	95	0.0461402469231741	DNA
28	LINE	25	0.0121421702429405	LINE
28	LTR	50	0.0242843404858811	LTR
28	RC	2	0.000971373619435243	RC
29	DNA	69	0.0335123898705159	DNA
29	LINE	14	0.0067996153360467	LINE
29	LTR	29	0.014084917481811	LTR
29	RC	11	0.00534255490689384	RC
30	DNA	24	0.0116564834332229	DNA
30	LINE	10	0.00485686809717622	LINE
30	LTR	30	0.0145706042915287	LTR
30	RC	4	0.00194274723887049	RC
31	DNA	10	0.00485686809717622	DNA
31	LINE	3	0.00145706042915286	LINE
31	LTR	8	0.00388549447774097	LTR
32	DNA	7	0.00339980766802335	DNA
32	LTR	5	0.00242843404858811	LTR
33	DNA	1	0.000485686809717622	DNA
