div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	39096	20.528653791626	DNA
0	LINE	12449	6.53676107663065	LINE
0	LTR	26102	13.7057223569936	LTR
0	RC	4411	2.3161421085242	RC
0	SINE	33	0.017327746447812	SINE
1	DNA	8203	4.30725770034551	DNA
1	LINE	1108	0.58179221406593	LINE
1	LTR	4857	2.55032922718251	LTR
1	RC	406	0.213183789630656	RC
1	SINE	3	0.00157524967707382	SINE
2	DNA	6563	3.44612121021182	DNA
2	LINE	743	0.390136836688615	LINE
2	LTR	4217	2.21427596274009	LTR
2	RC	302	0.158575134158764	RC
2	SINE	1	0.000525083225691272	SINE
3	DNA	5695	2.99034897031179	DNA
3	LINE	513	0.269367694779623	LINE
3	LTR	3534	1.85564411959296	LTR
3	RC	313	0.164351049641368	RC
4	DNA	5050	2.65167028974092	DNA
4	LINE	423	0.222110204467408	LINE
4	LTR	3202	1.68131648866345	LTR
4	RC	277	0.145448053516482	RC
4	SINE	1	0.000525083225691272	SINE
5	DNA	4456	2.33977085368031	DNA
5	LINE	308	0.161725633512912	LINE
5	LTR	2761	1.4497547861336	LTR
5	RC	261	0.137046721905422	RC
6	DNA	3852	2.02262058536278	DNA
6	LINE	319	0.167501548995516	LINE
6	LTR	2244	1.17828675845121	LTR
6	RC	247	0.129695556745744	RC
6	SINE	1	0.000525083225691272	SINE
7	DNA	3327	1.74695189187486	DNA
7	LINE	281	0.147548386419247	LINE
7	LTR	1891	0.992932379782196	LTR
7	RC	195	0.102391229009798	RC
8	DNA	3073	1.61358075254928	DNA
8	LINE	190	0.0997658128813417	LINE
8	LTR	1663	0.873213404324585	LTR
8	RC	141	0.0740367348224694	RC
9	DNA	2581	1.35523980550917	DNA
9	LINE	162	0.0850634825619861	LINE
9	LTR	1387	0.728290434033794	LTR
9	RC	94	0.0493578232149796	RC
9	SINE	1	0.000525083225691272	SINE
10	DNA	2501	1.31323314745387	DNA
10	LINE	169	0.088739065141825	LINE
10	LTR	1317	0.691534608235405	LTR
10	RC	122	0.0640601535343352	RC
11	DNA	2263	1.18826333973935	DNA
11	LINE	129	0.0677357361141741	LINE
11	LTR	1034	0.542936055364775	LTR
11	RC	102	0.0535584890205098	RC
12	DNA	2178	1.14363126555559	DNA
12	LINE	129	0.0677357361141741	LINE
12	LTR	985	0.517206977305903	LTR
12	RC	78	0.0409564916039192	RC
13	DNA	1913	1.0044842107474	DNA
13	LINE	124	0.0651103199857177	LINE
13	LTR	823	0.432143494743917	LTR
13	RC	76	0.0399063251525367	RC
13	SINE	3	0.00157524967707382	SINE
14	DNA	1796	0.943049473341525	DNA
14	LINE	108	0.0567089883746574	LINE
14	LTR	825	0.433193661195299	LTR
14	RC	64	0.0336053264442414	RC
14	SINE	2	0.00105016645138254	SINE
15	DNA	1674	0.878989319807189	DNA
15	LINE	136	0.071411318694013	LINE
15	LTR	776	0.407464583136427	LTR
15	RC	62	0.0325551599928589	RC
15	SINE	2	0.00105016645138254	SINE
16	DNA	1551	0.814404083047163	DNA
16	LINE	104	0.0546086554718923	LINE
16	LTR	716	0.375959589594951	LTR
16	RC	48	0.0252039948331811	RC
16	SINE	2	0.00105016645138254	SINE
17	DNA	1335	0.700986106297848	DNA
17	LINE	130	0.0682608193398654	LINE
17	LTR	623	0.327126849605663	LTR
17	RC	46	0.0241538283817985	RC
17	SINE	2	0.00105016645138254	SINE
18	DNA	1124	0.59019354567699	DNA
18	LINE	94	0.0493578232149796	LINE
18	LTR	544	0.285645274776052	LTR
18	RC	59	0.0309799103157851	RC
19	DNA	973	0.510905978597608	DNA
19	LINE	83	0.0435819077323756	LINE
19	LTR	430	0.225785787047247	LTR
19	RC	26	0.0136521638679731	RC
19	SINE	1	0.000525083225691272	SINE
20	DNA	876	0.459972905705554	DNA
20	LINE	103	0.054083572246201	LINE
20	LTR	453	0.237862701238146	LTR
20	RC	49	0.0257290780588723	RC
20	SINE	1	0.000525083225691272	SINE
21	DNA	621	0.32607668315428	DNA
21	LINE	79	0.0414815748296105	LINE
21	LTR	337	0.176953047057959	LTR
21	RC	22	0.011551830965208	RC
21	SINE	1	0.000525083225691272	SINE
22	DNA	555	0.291421190258656	DNA
22	LINE	81	0.042531741280993	LINE
22	LTR	290	0.152274135450469	LTR
22	RC	29	0.0152274135450469	RC
22	SINE	1	0.000525083225691272	SINE
23	DNA	443	0.232611868981234	DNA
23	LINE	59	0.0309799103157851	LINE
23	LTR	229	0.120244058683301	LTR
23	RC	36	0.0189029961248858	RC
24	DNA	287	0.150698885773395	DNA
24	LINE	45	0.0236287451561072	LINE
24	LTR	170	0.0892641483675163	LTR
24	RC	21	0.0110267477395167	RC
24	SINE	1	0.000525083225691272	SINE
25	DNA	270	0.141772470936643	DNA
25	LINE	45	0.0236287451561072	LINE
25	LTR	160	0.0840133161106035	LTR
25	RC	17	0.00892641483675163	RC
25	SINE	2	0.00105016645138254	SINE
26	DNA	173	0.0908393980445901	DNA
26	LINE	59	0.0309799103157851	LINE
26	LTR	102	0.0535584890205098	LTR
26	RC	8	0.00420066580553018	RC
27	DNA	129	0.0677357361141741	DNA
27	LINE	21	0.0110267477395167	LINE
27	LTR	90	0.0472574903122145	LTR
27	RC	6	0.00315049935414763	RC
28	DNA	66	0.034655492895624	DNA
28	LINE	13	0.00682608193398654	LINE
28	LTR	61	0.0320300767671676	LTR
